Year,West,South,Midwest,Northeast
1979,6.008333333,5.35,5.5,6.558333333
1980,6.925,6.490909091,8.166666667,7.133333333
1981,7.466666667,7.016666667,8.6,7.458333333
1982,9.891666667,9.066666667,11.20833333,8.983333333
1983,9.508333333,9.208333333,10.85833333,8.683333333
1984,7.575,7.291666667,8.383333333,6.825
1985,7.25,7.2,8.016666667,6.158333333
1986,7.133333333,7.533333333,7.4,5.566666667
1987,6.316666667,6.816666667,6.616666667,4.5
1988,5.65,6.116666667,5.758333333,4.033333333
1989,5.258333333,5.658333333,5.391666667,4.475
1990,5.558333333,5.75,5.625,5.466666667
1991,6.933333333,6.816666667,6.483333333,7.275
1992,8.158333333,7.258333333,6.708333333,8.158333333
1993,8.025,6.575,6.066666667,7.35
1994,7.183333333,5.85,5.075,6.483333333
1996,6.383333333,5.241666667,4.516666667,5.641666667
1998,5.375,4.408333333,3.733333333,4.625
2000,4.65,3.908333333,3.641666667,3.825
2002,6.416666667,5.65,5.525,5.6
2004,5.875,5.258333333,5.741666667,5.3
2006,4.633333333,4.475,5.008333333,4.6
2008,6.45,5.575,6.058333333,5.483333333
2010,10.89166667,9.283333333,9.458333333,8.616666667
2012,9.136363636,7.716666667,7.416666667,8.133333333
2014,6.733333333,6.008333333,5.825,6.158333333
